@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
1,'2023/11/20 23:29:33:876',1,15.929165,1.653728,0,0
2,'2023/11/20 23:29:33:925',1,16.219629,2.263027,0,0
3,'2023/11/20 23:29:33:958',1,16.463854,2.813377,0,0
4,'2023/11/20 23:29:33:991',1,16.882452,3.030553,0,0
5,'2023/11/20 23:29:34:025',1,17.073574,3.146298,0,0
6,'2023/11/20 23:29:34:042',1,17.222178,3.243691,0,0
7,'2023/11/20 23:29:34:075',1,17.279724,3.341762,0,0
8,'2023/11/20 23:29:34:108',1,17.417919,3.126282,0,0
9,'2023/11/20 23:29:34:141',1,17.354481,3.134104,0,0
10,'2023/11/20 23:29:34:192',1,17.43335,2.975809,0,0
11,'2023/11/20 23:29:34:225',1,17.418188,3.384901,0,0
12,'2023/11/20 23:29:34:242',1,17.568039,2.883209,0,0
13,'2023/11/20 23:29:34:275',1,17.315899,3.345443,0,0
14,'2023/11/20 23:29:34:310',1,17.456461,2.883362,0,0
15,'2023/11/20 23:29:34:344',1,17.314148,3.290708,0,0
16,'2023/11/20 23:29:34:377',1,17.441481,2.751708,0,0
17,'2023/11/20 23:29:34:408',1,17.30337,3.226311,0,0
18,'2023/11/20 23:29:34:442',1,17.359724,2.762311,0,0
19,'2023/11/20 23:29:34:475',1,17.354881,3.161274,0,0
20,'2023/11/20 23:29:34:545',1,17.32382,2.791228,0,0
21,'2023/11/20 23:29:34:576',1,17.338579,3.167047,0,0
22,'2023/11/20 23:29:34:609',1,17.283451,2.633242,0,0
23,'2023/11/20 23:29:34:642',1,17.391066,3.026838,0,0
24,'2023/11/20 23:29:34:676',1,17.209728,3.056162,0,0
25,'2023/11/20 23:29:34:709',1,17.286692,2.506299,0,0
26,'2023/11/20 23:29:34:747',1,17.355379,2.887327,0,0
27,'2023/11/20 23:29:34:779',1,17.214806,2.908385,0,0
28,'2023/11/20 23:29:34:810',1,17.225876,2.68193,0,0
29,'2023/11/20 23:29:34:842',1,17.256039,2.758913,0,0
30,'2023/11/20 23:29:34:877',1,17.309563,2.369127,0,0
31,'2023/11/20 23:29:34:909',1,17.488411,1.730853,0,0
32,'2023/11/20 23:29:34:942',1,17.490702,1.450248,0,0
33,'2023/11/20 23:29:34:975',1,17.541473,1.450396,0,0
34,'2023/11/20 23:29:35:008',1,17.593771,1.447065,0,0
35,'2023/11/20 23:29:35:042',1,17.466269,1.415653,0,0
36,'2023/11/20 23:29:35:075',1,17.564054,1.400397,0,0
37,'2023/11/20 23:29:35:092',1,17.494688,1.362352,0,0
38,'2023/11/20 23:29:35:142',1,17.56156,1.413739,0,0
39,'2023/11/20 23:29:35:180',1,17.494648,1.449094,0,0
40,'2023/11/20 23:29:35:209',1,17.519087,1.425981,0,0
41,'2023/11/20 23:29:35:241',1,17.523928,1.457156,0,0
42,'2023/11/20 23:29:35:275',1,17.495001,1.479289,0,0
43,'2023/11/20 23:29:35:309',1,17.530046,1.431012,0,0
44,'2023/11/20 23:29:35:342',1,17.518162,1.420704,0,0
45,'2023/11/20 23:29:35:359',1,17.566229,1.385994,0,0
46,'2023/11/20 23:29:35:393',1,17.541945,1.359515,0,0
47,'2023/11/20 23:29:35:425',1,17.566092,1.336738,0,0
48,'2023/11/20 23:29:35:477',1,17.605576,1.334787,0,0
49,'2023/11/20 23:29:35:508',1,17.575521,1.341918,0,0
50,'2023/11/20 23:29:35:526',1,17.603786,1.336361,0,0
51,'2023/11/20 23:29:35:559',1,17.604494,1.341313,0,0
52,'2023/11/20 23:29:35:593',1,17.556051,1.337932,0,0
53,'2023/11/20 23:29:35:627',1,17.517691,1.331099,0,0
